id,origin,destination,start_time,kind
0,1,1,7,Human
1,1,0,15,Human
2,0,1,20,Human
3,1,0,24,Human
4,1,1,21,Human
5,0,1,22,Human
6,1,1,24,Human
7,0,1,25,Human
8,1,1,25,Human
9,1,0,18,Human
10,1,0,18,Human
11,0,0,23,Human
12,1,1,4,Human
13,0,1,15,Human
14,0,0,19,Human
15,0,0,14,Human
16,0,1,29,Human
17,0,0,20,Human
18,1,0,22,Human
19,1,1,23,Human
20,1,0,23,Human
21,0,1,22,Human
22,0,1,27,Human
23,0,1,22,Human
24,0,0,25,Human
25,0,1,17,Human
26,0,0,19,Human
27,1,0,32,Human
28,1,0,15,Human
29,0,1,20,Human
30,0,0,15,Human
31,0,1,16,Human
32,0,1,20,Human
33,1,0,29,Human
34,0,0,6,Human
35,0,0,21,Human
36,1,1,14,Human
37,1,1,13,Human
38,0,0,25,Human
39,0,1,38,Human
40,0,0,20,Human
41,1,1,20,Human
42,0,0,26,Human
43,0,0,6,Human
44,1,1,23,Human
45,0,1,31,Human
46,0,1,22,Human
47,1,1,15,Human
48,1,0,33,Human
49,1,1,18,Human
50,0,1,23,Human
51,1,1,11,Human
52,1,0,20,Human
53,0,0,23,Human
54,1,1,17,Human
55,1,1,19,Human
56,1,1,25,Human
57,1,0,17,Human
58,0,1,20,Human
59,0,0,27,Human
60,1,1,27,Human
61,0,1,19,Human
62,0,0,29,Human
63,0,1,19,Human
64,0,0,19,Human
65,1,1,17,Human
66,1,1,20,Human
67,1,0,32,Human
68,1,0,28,Human
69,1,1,21,Human
70,1,0,14,Human
71,1,1,4,Human
72,1,0,20,Human
73,1,1,26,Human
74,0,1,9,Human
75,0,0,16,Human
76,1,1,15,Human
77,1,1,26,Human
78,0,0,18,Human
79,1,0,27,Human
80,1,0,12,Human
81,0,0,23,Human
82,0,1,14,Human
83,1,1,23,Human
84,0,1,17,Human
85,0,1,24,Human
86,0,1,22,Human
87,0,0,20,Human
88,0,1,2,Human
89,1,0,28,Human
90,0,1,17,Human
91,1,1,26,Human
92,0,0,15,Human
93,0,1,21,Human
94,0,1,8,Human
95,1,1,23,Human
96,1,0,5,Human
97,1,0,24,Human
98,0,1,4,Human
99,1,1,19,Human
100,0,0,14,Human
101,0,0,20,Human
102,1,0,24,Human
103,1,0,13,Human
104,0,0,23,Human
105,0,1,12,Human
106,1,1,17,Human
107,1,0,29,Human
108,0,1,23,Human
109,1,0,6,Human
110,1,1,12,Human
111,1,1,22,Human
112,0,1,11,Human
113,0,0,19,Human
114,1,0,4,Human
115,1,1,34,Human
116,1,1,31,Human
117,1,1,20,Human
118,1,1,22,Human
119,0,0,2,Human
120,1,1,26,Human
121,1,0,17,Human
122,1,0,23,Human
123,1,1,29,Human
124,0,1,20,Human
125,0,0,21,Human
126,0,1,27,Human
127,0,0,20,Human
128,0,0,30,Human
129,0,1,14,Human
130,0,0,16,Human
131,1,0,30,Human
132,0,0,10,Human
133,0,1,26,Human
134,1,1,23,Human
135,0,1,26,Human
136,1,1,21,Human
137,1,1,23,Human
138,1,1,33,Human
139,1,1,15,Human
140,1,0,27,Human
141,1,1,17,Human
142,1,0,24,Human
143,1,0,30,Human
144,1,0,18,Human
145,1,0,29,Human
146,0,0,27,Human
147,1,1,22,Human
148,0,0,28,Human
149,0,0,31,Human
150,1,0,23,Human
151,0,1,21,Human
152,0,0,27,Human
153,0,1,16,Human
154,1,1,29,Human
155,0,0,16,Human
156,0,1,17,Human
157,1,0,13,Human
158,0,0,22,Human
159,1,1,28,Human
160,0,0,10,Human
161,0,1,11,Human
162,0,1,14,Human
163,1,0,21,Human
164,0,1,23,Human
165,1,1,18,Human
166,1,0,16,Human
167,1,0,19,Human
168,0,1,16,Human
169,1,0,19,Human
170,0,0,8,Human
171,1,1,23,Human
172,0,0,24,Human
173,0,1,18,Human
174,1,1,15,Human
175,1,0,20,Human
176,0,0,24,Human
177,0,0,24,Human
178,1,1,15,Human
179,1,1,12,Human
180,0,1,23,Human
181,1,1,22,Human
182,1,0,13,Human
183,1,1,20,Human
184,0,0,20,Human
185,1,0,31,Human
186,1,1,21,Human
187,1,0,23,Human
188,1,1,26,Human
189,1,1,13,Human
190,0,0,25,Human
191,0,1,26,Human
192,1,0,16,Human
193,0,1,16,Human
194,0,0,13,Human
195,1,1,26,Human
196,0,1,17,Human
197,1,1,2,Human
198,1,1,11,Human
199,1,1,11,Human
200,0,0,25,Human
201,1,1,19,Human
202,0,1,20,Human
203,1,1,30,Human
204,1,1,21,Human
205,1,0,19,Human
206,0,1,14,Human
207,1,1,21,Human
208,0,0,20,Human
209,1,1,0,Human
210,1,1,23,Human
211,0,0,19,Human
212,0,1,17,Human
213,1,0,24,Human
214,1,1,19,Human
215,0,0,23,Human
216,0,1,20,Human
217,1,1,21,Human
218,1,1,28,Human
219,1,1,8,Human
220,1,0,20,Human
221,1,0,20,Human
222,0,0,14,Human
223,1,1,12,Human
224,0,1,20,Human
225,1,1,25,Human
226,1,0,24,Human
227,0,0,27,Human
228,0,0,17,Human
229,1,1,26,Human
230,0,0,16,Human
231,0,0,28,Human
232,0,0,16,Human
233,0,1,21,Human
234,1,0,18,Human
235,0,0,20,Human
236,0,1,37,Human
237,0,1,15,Human
238,1,0,24,Human
239,1,1,32,Human
240,0,0,3,Human
241,1,1,29,Human
242,1,1,22,Human
243,1,0,17,Human
244,0,1,26,Human
245,1,0,11,Human
246,1,1,12,Human
247,0,1,21,Human
248,0,1,12,Human
249,0,0,18,Human
250,1,1,15,Human
251,1,1,20,Human
252,0,0,25,Human
253,0,1,28,Human
254,0,0,19,Human
255,1,0,16,Human
256,1,1,20,Human
257,1,1,24,Human
258,1,0,24,Human
259,0,0,30,Human
260,1,1,16,Human
261,1,0,23,Human
262,0,1,10,Human
263,1,0,30,Human
264,1,0,8,Human
265,0,1,19,Human
266,1,0,25,Human
267,0,0,12,Human
268,0,0,33,Human
269,1,1,16,Human
270,0,0,22,Human
271,1,1,25,Human
272,0,1,24,Human
273,1,1,20,Human
274,0,0,13,Human
275,0,1,23,Human
276,1,1,11,Human
277,1,0,11,Human
278,1,0,27,Human
279,1,1,29,Human
280,1,1,17,Human
281,0,0,27,Human
282,1,0,27,Human
283,0,0,18,Human
284,1,1,20,Human
285,0,1,29,Human
286,0,1,19,Human
287,0,0,24,Human
288,0,0,21,Human
289,0,1,12,Human
290,1,1,22,Human
291,1,1,12,Human
292,1,1,23,Human
293,1,0,8,Human
294,0,0,21,Human
295,0,1,23,Human
296,1,0,18,Human
297,1,1,17,Human
298,1,1,15,Human
299,0,0,10,Human
300,0,0,18,Human
301,0,0,28,Human
302,0,1,16,Human
303,0,1,18,Human
304,1,0,14,Human
305,0,0,13,Human
306,0,0,18,Human
307,1,1,24,Human
308,0,1,16,Human
309,0,0,17,Human
310,0,0,28,Human
311,1,0,33,Human
312,0,1,21,Human
313,1,1,11,Human
314,0,0,19,Human
315,0,1,12,Human
316,0,0,28,Human
317,1,0,16,Human
318,1,1,35,Human
319,1,1,18,Human
320,1,0,20,Human
321,0,0,25,Human
322,1,0,18,Human
323,1,0,18,Human
324,0,0,16,Human
325,1,1,11,Human
326,1,0,10,Human
327,0,0,20,Human
328,0,0,11,Human
329,0,1,26,Human
330,1,1,21,Human
331,0,1,22,Human
332,0,1,13,Human
333,0,1,21,Human
334,0,1,21,Human
335,0,1,8,Human
336,0,1,27,Human
337,1,0,13,Human
338,0,1,22,Human
339,1,0,30,Human
340,1,1,22,Human
341,0,1,23,Human
342,1,0,11,Human
343,0,0,25,Human
344,1,0,7,Human
345,1,1,40,Human
346,0,0,18,Human
347,0,1,24,Human
348,0,1,18,Human
349,1,1,20,Human
350,1,1,12,Human
351,0,0,15,Human
352,0,0,20,Human
353,0,1,20,Human
354,0,0,18,Human
355,1,1,16,Human
356,0,0,31,Human
357,1,1,11,Human
358,1,1,25,Human
359,1,1,11,Human
360,1,0,29,Human
361,1,0,24,Human
362,1,0,13,Human
363,1,1,34,Human
364,1,0,29,Human
365,1,1,28,Human
366,0,1,15,Human
367,1,1,24,Human
368,1,1,26,Human
369,1,0,25,Human
370,1,0,17,Human
371,0,1,12,Human
372,1,0,16,Human
373,0,0,16,Human
374,0,0,18,Human
375,1,1,34,Human
376,1,0,26,Human
377,1,1,22,Human
378,1,0,21,Human
379,1,0,25,Human
380,0,0,11,Human
381,1,1,20,Human
382,1,1,19,Human
383,1,0,15,Human
384,1,1,13,Human
385,1,0,5,Human
386,0,1,20,Human
387,1,0,30,Human
388,1,0,21,Human
389,1,1,22,Human
390,0,1,12,Human
391,0,1,15,Human
392,0,1,21,Human
393,1,1,20,Human
394,1,0,32,Human
395,1,0,15,Human
396,0,0,15,Human
397,0,1,22,Human
398,0,1,28,Human
399,0,0,14,Human
400,0,0,13,Human
401,1,0,13,Human
402,0,1,15,Human
403,1,0,34,Human
404,0,0,22,Human
405,1,1,23,Human
406,0,0,10,Human
407,0,0,22,Human
408,1,1,18,Human
409,0,0,17,Human
410,1,1,19,Human
411,1,1,19,Human
412,0,0,28,Human
413,0,1,24,Human
414,1,0,14,Human
415,0,0,18,Human
416,1,0,4,Human
417,0,0,16,Human
418,1,0,17,Human
419,0,1,24,Human
420,0,1,25,Human
421,0,0,10,Human
422,0,0,33,Human
423,1,1,19,Human
424,0,1,26,Human
425,0,0,26,Human
426,1,0,19,Human
427,0,1,24,Human
428,0,1,16,Human
429,1,1,22,Human
430,1,0,14,Human
431,0,1,13,Human
432,1,0,29,Human
433,0,0,19,Human
434,0,0,20,Human
435,1,0,15,Human
436,0,1,12,Human
437,0,0,31,Human
438,0,1,29,Human
439,1,0,17,Human
440,0,0,28,Human
441,0,1,21,Human
442,0,0,20,Human
443,1,1,22,Human
444,1,0,19,Human
445,0,1,23,Human
446,1,0,12,Human
447,0,0,24,Human
448,0,0,37,Human
449,1,1,23,Human
450,0,0,17,Human
451,0,0,19,Human
452,1,0,23,Human
453,0,0,34,Human
454,0,1,27,Human
455,1,0,7,Human
456,1,0,24,Human
457,0,1,8,Human
458,0,1,28,Human
459,1,1,20,Human
460,1,1,13,Human
461,1,0,31,Human
462,0,0,22,Human
463,1,1,19,Human
464,0,1,17,Human
465,1,1,24,Human
466,0,0,21,Human
467,0,1,15,Human
468,0,0,26,Human
469,0,1,19,Human
470,0,0,15,Human
471,1,1,23,Human
472,1,0,24,Human
473,0,0,26,Human
474,0,0,8,Human
475,0,0,24,Human
476,1,1,27,Human
477,1,0,23,Human
478,0,0,9,Human
479,0,0,14,Human
480,1,1,22,Human
481,1,1,24,Human
482,0,0,19,Human
483,0,0,25,Human
484,0,0,30,Human
485,0,0,27,Human
486,1,1,27,Human
487,1,0,25,Human
488,0,0,18,Human
489,0,1,22,Human
490,1,0,15,Human
491,0,0,32,Human
492,1,0,21,Human
493,1,0,20,Human
494,1,1,28,Human
495,1,0,16,Human
496,0,0,17,Human
497,0,0,32,Human
498,1,0,22,Human
499,1,0,10,Human
500,0,0,26,Human
501,1,0,36,Human
502,1,1,25,Human
503,0,0,26,Human
504,0,0,18,Human
505,0,0,15,Human
506,0,1,6,Human
507,0,1,12,Human
508,1,0,28,Human
509,1,1,25,Human
510,0,1,18,Human
511,1,1,17,Human
512,1,1,10,Human
513,0,1,14,Human
514,0,0,8,Human
515,1,1,16,Human
516,0,0,22,Human
517,0,0,18,Human
518,1,0,17,Human
519,0,1,25,Human
520,0,0,16,Human
521,1,0,21,Human
522,1,1,8,Human
523,1,1,14,Human
524,1,0,22,Human
525,0,1,4,Human
526,1,0,24,Human
527,1,1,2,Human
528,0,0,11,Human
529,1,1,16,Human
530,0,1,13,Human
531,0,0,19,Human
532,0,1,18,Human
533,0,0,2,Human
534,0,0,22,Human
535,0,0,14,Human
536,0,1,12,Human
537,0,0,31,Human
538,0,0,27,Human
539,1,1,35,Human
540,0,0,8,Human
541,1,0,23,Human
542,1,0,18,Human
543,1,0,29,Human
544,1,1,26,Human
545,1,0,35,Human
546,0,1,11,Human
547,0,1,12,Human
548,1,1,20,Human
549,1,0,10,Human
550,1,1,23,Human
551,1,0,21,Human
552,1,0,16,Human
553,1,1,16,Human
554,0,1,33,Human
555,1,1,24,Human
556,1,0,20,Human
557,1,0,22,Human
558,0,1,18,Human
559,1,0,15,Human
560,0,0,16,Human
561,1,0,21,Human
562,0,1,32,Human
563,1,1,19,Human
564,1,0,19,Human
565,0,1,16,Human
566,0,0,27,Human
567,0,1,17,Human
568,0,0,14,Human
569,1,1,16,Human
570,0,1,17,Human
571,0,1,17,Human
572,0,1,14,Human
573,0,0,22,Human
574,0,1,34,Human
575,0,1,25,Human
576,1,1,14,Human
577,0,0,24,Human
578,1,1,15,Human
579,0,1,34,Human
580,1,0,8,Human
581,1,0,29,Human
582,1,1,15,Human
583,1,1,10,Human
584,1,0,14,Human
585,1,0,14,Human
586,1,1,28,Human
587,0,1,29,Human
588,0,0,8,Human
589,0,1,25,Human
590,1,1,29,Human
591,0,0,27,Human
592,1,0,17,Human
593,0,1,24,Human
594,0,0,8,Human
595,0,0,13,Human
596,1,0,25,Human
597,0,0,22,Human
598,1,1,16,Human
599,0,0,20,Human
600,0,1,22,Human
601,0,1,9,Human
602,0,1,9,Human
603,0,0,18,Human
604,1,0,18,Human
605,0,1,24,Human
606,1,1,21,Human
607,0,0,5,Human
608,0,0,19,Human
609,0,1,23,Human
610,0,1,30,Human
611,1,1,33,Human
612,0,0,12,Human
613,1,0,11,Human
614,0,1,25,Human
615,0,1,12,Human
616,0,1,21,Human
617,0,0,19,Human
618,0,0,11,Human
619,0,0,8,Human
