origins,destinations,path,free_flow_time
0,0,"441496282#0,441496282#1,-115604043#2,279952229#2,279952229#3,279952229#4,279952229#5,115604057#1,-115604057#1",2.1212284913965584
0,0,"441496282#0,441496282#1,441496282#2,-115604048#2,279952229#3,279952229#4,279952229#5,115604057#1,-115604057#1",2.135734293717487
0,0,"441496282#0,441496282#1,441496282#2,441496282#3,-115604050#2,279952229#4,-115604047#1,115604047#1,279952229#5,115604057#1,-115604057#1",3.046178471388555
1,0,"154551772#1,154551772#2,154551772#3,115604043#0,-115602933#4,115604048#1,279952229#3,279952229#4,279952229#5,115604057#1,-115604057#1",2.5170836657197073
1,0,"154551772#1,154551772#2,154551772#3,154551772#4,-154551772#4,115604043#0,-115602933#4,-115602933#3,-115602933#2,115604047#1,279952229#5,115604057#1,-115604057#1",2.5043383372067325
1,0,"154551772#1,115604051#0,115602933#6,115602920#3,279952229#0,279952229#1,279952229#2,-115604048#1,-115602933#3,-115602933#2,115604047#1,279952229#5,115604057#1,-115604057#1",3.747799119647859
0,1,"441496282#0,-115604051#2,279952229#1,279952229#2,279952229#3,279952229#4,-279952229#4",1.288155262104842
0,1,"441496282#0,441496282#1,441496282#2,441496282#3,441496282#4,-115604047#2,-279952229#4",1.344417767106843
0,1,"441496282#0,441496282#1,441496282#2,441496282#3,-115604050#2,279952229#4,-279952229#4",1.322248899559824
1,1,"154551772#1,115604051#0,115604051#1,279952229#1,279952229#2,279952229#3,279952229#4,-279952229#4",1.7910364145658262
1,1,"154551772#1,154551772#2,154551772#3,115604043#0,-115602933#4,115604048#1,279952229#3,279952229#4,-279952229#4",1.7006771030946575
1,1,"154551772#1,154551772#2,154551772#3,115604043#0,115604043#1,279952229#2,279952229#3,279952229#4,-279952229#4",1.7102809446312723
