id,origin,destination,start_time,kind
0,0,0,99,Human
1,0,0,58,Human
2,0,0,112,Human
3,0,0,118,Human
4,0,0,31,Human
5,0,0,50,Human
6,0,0,93,Human
7,0,0,80,Human
8,0,0,89,Human
9,0,0,64,Human
10,0,0,116,Human
11,0,0,113,Human
12,0,0,91,Human
13,0,0,123,Human
14,0,0,104,Human
15,0,0,64,Human
16,0,0,101,Human
17,0,0,61,Human
18,0,0,116,Human
19,0,0,88,Human
20,0,0,84,Human
21,0,0,69,Human
22,0,0,126,Human
23,0,0,85,Human
24,0,0,77,Human
25,0,0,79,Human
26,0,0,105,Human
27,0,0,100,Human
28,0,0,102,Human
29,0,0,102,Human
30,0,0,154,Human
31,0,0,77,Human
32,0,0,74,Human
33,0,0,65,Human
34,0,0,108,Human
35,0,0,123,Human
36,0,0,86,Human
37,0,0,64,Human
38,0,0,65,Human
39,0,0,109,Human
40,0,0,112,Human
41,0,0,106,Human
42,0,0,70,Human
43,0,0,96,Human
44,0,0,93,Human
45,0,0,96,Human
46,0,0,116,Human
47,0,0,96,Human
48,0,0,110,Human
49,0,0,92,Human
50,0,0,98,Human
51,0,0,108,Human
52,0,0,46,Human
53,0,0,80,Human
54,0,0,75,Human
55,0,0,70,Human
56,0,0,81,Human
57,0,0,134,Human
58,0,0,64,Human
59,0,0,119,Human
60,0,0,39,Human
61,0,0,79,Human
62,0,0,94,Human
63,0,0,107,Human
64,0,0,111,Human
65,0,0,113,Human
66,0,0,79,Human
67,0,0,76,Human
68,0,0,115,Human
69,0,0,84,Human
70,0,0,51,Human
71,0,0,56,Human
72,0,0,62,Human
73,0,0,104,Human
74,0,0,94,Human
75,0,0,110,Human
76,0,0,77,Human
77,0,0,94,Human
78,0,0,108,Human
79,0,0,80,Human
80,0,0,103,Human
81,0,0,70,Human
82,0,0,79,Human
83,0,0,78,Human
84,0,0,54,Human
85,0,0,104,Human
86,0,0,75,Human
87,0,0,90,Human
88,0,0,104,Human
89,0,0,103,Human
90,0,0,109,Human
91,0,0,87,Human
92,0,0,77,Human
93,0,0,87,Human
94,0,0,39,Human
95,0,0,46,Human
96,0,0,50,Human
97,0,0,60,Human
98,0,0,101,Human
99,0,0,62,Human
