travel_time,id,kind,action,origin,destination,start_time,reward,reward_right,cost_table
0.6666666666666666,0,Human,0,0,0,14,-0.6666666666666666,-0.6666666666666666,"-0.6677927776362388,0.0"
0.4666666666666667,1,Human,0,0,0,1,-0.4666666666666667,-0.4666666666666667,"-0.4665455130733009,0.0"
0.65,2,Human,0,0,0,10,-0.65,-0.65,"-0.6497054575176726,-0.6524480000000001"
0.55,3,Human,0,0,0,6,-0.55,-0.55,"-0.5494553063827146,-0.5902848000000002"
0.5666666666666667,4,Human,0,0,0,8,-0.5666666666666667,-0.5666666666666667,"-0.5665195515890082,0.0"
0.65,5,Human,0,0,0,18,-0.65,-0.65,"-0.650658197953526,0.0"
0.55,6,Human,0,0,0,5,-0.55,-0.55,"-0.5494200531386365,0.0"
0.5166666666666667,7,Human,0,0,0,2,-0.5166666666666667,-0.5166666666666667,"-0.5165325323311548,0.0"
0.6333333333333333,8,Human,0,0,0,13,-0.6333333333333333,-0.6333333333333333,"-0.6340838639676911,-0.6836608000000001"
0.6666666666666666,9,Human,0,0,0,20,-0.6666666666666666,-0.6666666666666666,"-0.6670456699626858,-0.7261226666666667"
