travel_time,id,kind,action,origin,destination,start_time,reward,reward_right,cost_table
0.6666666666666666,0,Human,0,0,0,27,-0.6666666666666666,-0.6666666666666666,"-0.6782881500227087,-0.7510600533333336"
0.9666666666666667,1,Human,0,0,0,40,-0.9666666666666667,-0.9666666666666667,"-1.0003324792832005,-1.0158592001316182"
0.85,2,Human,0,0,0,31,-0.85,-0.85,"-0.8330403491124568,-0.8329935686997335"
0.55,3,Human,0,0,0,3,-0.55,-0.55,"-0.5486701815984241,0.0"
0.9,4,Human,0,0,0,37,-0.9,-0.9,"-0.970845162358921,-0.9892951842816002"
0.8333333333333334,5,Human,1,0,0,28,-0.8333333333333334,-0.8333333333333334,"-0.8137138421760002,-0.8102535411062104"
0.48333333333333334,6,Human,0,0,0,9,-0.48333333333333334,-0.48333333333333334,"-0.478875370182187,-0.5164992"
0.8666666666666667,7,Human,0,0,0,36,-0.8666666666666667,-0.8666666666666667,"-0.9213407588843523,-0.9411420764023468"
0.6,8,Human,0,0,0,22,-0.6,-0.6,"-0.6003469445148965,0.0"
0.5833333333333334,9,Human,0,0,0,25,-0.5833333333333334,-0.5833333333333334,"-0.5943930680658214,-0.6364270933333335"
0.95,10,Human,0,0,0,39,-0.95,-0.95,"-1.113936620410418,0.0"
0.9333333333333333,11,Human,0,0,0,38,-0.9333333333333333,-0.9333333333333333,"-0.9968240767795201,-1.0215059332382723"
0.4666666666666667,12,Human,0,0,0,2,-0.4666666666666667,-0.4666666666666667,"-0.4632232744395743,-0.47062400000000004"
0.5,13,Human,0,0,0,18,-0.5,-0.5,"-0.5108454605447058,0.0"
0.6,14,Human,0,0,0,20,-0.6,-0.6,"-0.596351067582864,-0.6066314666666668"
0.6666666666666666,15,Human,0,0,0,29,-0.6666666666666666,-0.6666666666666666,"-0.7087685559146711,0.0"
0.4666666666666667,16,Human,0,0,0,16,-0.4666666666666667,-0.4666666666666667,"-0.468534548844169,0.0"
0.9,17,Human,0,0,0,32,-0.9,-0.9,"-1.0005721931758953,0.0"
0.6333333333333333,18,Human,0,0,0,26,-0.6333333333333333,-0.6333333333333333,"-0.6364327537195159,-0.6662773333333335"
0.8333333333333334,19,Human,0,0,0,30,-0.8333333333333334,-0.8333333333333334,"-0.9554852437403243,0.0"
