id,origin,destination,start_time,kind
0,0,0,322,Human
1,0,0,190,Human
2,0,0,436,Human
3,0,0,76,Human
4,0,0,498,Human
5,0,0,145,Human
6,0,0,374,Human
7,0,0,291,Human
8,0,0,489,Human
9,0,0,129,Human
10,0,0,221,Human
11,0,0,342,Human
12,0,0,108,Human
13,0,0,357,Human
14,0,0,265,Human
15,0,0,76,Human
16,0,0,290,Human
17,0,0,402,Human
18,0,0,154,Human
19,0,0,489,Human
20,0,0,75,Human
21,0,0,384,Human
22,0,0,220,Human
23,0,0,167,Human
24,0,0,432,Human
25,0,0,11,Human
26,0,0,289,Human
27,0,0,481,Human
28,0,0,102,Human
29,0,0,233,Human
30,0,0,488,Human
31,0,0,176,Human
32,0,0,499,Human
33,0,0,90,Human
34,0,0,245,Human
35,0,0,473,Human
36,0,0,377,Human
37,0,0,143,Human
38,0,0,350,Human
39,0,0,65,Human
40,0,0,218,Human
41,0,0,337,Human
42,0,0,123,Human
43,0,0,413,Human
44,0,0,269,Human
45,0,0,380,Human
46,0,0,149,Human
47,0,0,438,Human
48,0,0,227,Human
49,0,0,35,Human
50,0,0,494,Human
51,0,0,118,Human
52,0,0,365,Human
53,0,0,179,Human
54,0,0,292,Human
55,0,0,150,Human
56,0,0,426,Human
57,0,0,235,Human
58,0,0,392,Human
59,0,0,94,Human
60,0,0,269,Human
61,0,0,489,Human
62,0,0,168,Human
63,0,0,334,Human
64,0,0,59,Human
65,0,0,278,Human
66,0,0,395,Human
67,0,0,162,Human
68,0,0,488,Human
69,0,0,135,Human
70,0,0,423,Human
71,0,0,270,Human
72,0,0,378,Human
73,0,0,188,Human
74,0,0,491,Human
75,0,0,72,Human
76,0,0,367,Human
77,0,0,207,Human
78,0,0,491,Human
79,0,0,39,Human
80,0,0,321,Human
81,0,0,153,Human
82,0,0,488,Human
83,0,0,102,Human
84,0,0,391,Human
85,0,0,216,Human
86,0,0,446,Human
87,0,0,73,Human
88,0,0,335,Human
89,0,0,155,Human
90,0,0,473,Human
91,0,0,194,Human
92,0,0,349,Human
93,0,0,182,Human
94,0,0,426,Human
95,0,0,275,Human
96,0,0,382,Human
97,0,0,139,Human
98,0,0,452,Human
99,0,0,78,Human
