origin,destination,path,free_flow_time
0,0,"441496282#0,441496282#1,-115604043#2,279952229#2,279952229#3,279952229#4,279952229#5,115604057#1,-115604057#1",2.1212284913965584
0,0,"441496282#0,441496282#1,441496282#2,441496282#3,441496282#4,-115604047#2,279952229#5,279952229#6,410338471,-819269916#2,-115604057#1",1.9894863796103501
0,0,"441496282#0,441496282#1,441496282#2,441496282#3,441496282#4,-115604047#2,-115604047#1,-115602933#1,-115602933#0,819269916#1,-115604057#1",2.3561653734401053
1,0,"154551772#1,154551772#2,154551772#3,154551772#4,154551772#5,154551772#6,154551772#7,154551772#8,154551772#9,154551772#10,154551772#11,115604049,115602933#1,-115602933#1,-115602933#0,819269916#1,-115604057#1",1.6439540958405123
1,0,"154551772#1,115604051#0,-115602933#5,115604043#1,279952229#2,279952229#3,279952229#4,279952229#5,115604057#1,-115604057#1",2.6005202080832333
1,0,"154551772#1,115604051#0,-115602933#5,-115602933#4,115604048#1,279952229#3,279952229#4,279952229#5,279952229#6,410338471,-819269916#2,-115604057#1",2.4195784164250758
0,1,"441496282#0,441496282#1,441496282#2,441496282#3,441496282#4,-115604047#2,-279952229#4",1.344417767106843
0,1,"441496282#0,-115604051#2,279952229#1,279952229#2,279952229#3,279952229#4,-279952229#4",1.288155262104842
0,1,"441496282#0,441496282#1,441496282#2,-115604048#2,279952229#3,279952229#4,-279952229#4",1.319327731092437
1,1,"154551772#1,115604051#0,-115602933#5,-115602933#4,-115602933#3,-115602933#2,115604047#1,-279952229#4",1.7612845138055222
1,1,"154551772#1,115604051#0,-115602933#5,115604043#1,279952229#2,279952229#3,279952229#4,-279952229#4",1.7841136454581834
1,1,"154551772#1,115604051#0,115604051#1,279952229#1,279952229#2,279952229#3,279952229#4,-279952229#4",1.7910364145658262
