origin,destination,path,free_flow_time
0,0,"441496282#0,441496282#1,441496282#2,441496282#3,441496282#4,-115604047#2,279952229#5,115604057#1,-115604057#1",2.1608243297318928
0,0,"441496282#0,441496282#1,441496282#2,-115604048#2,279952229#3,279952229#4,279952229#5,279952229#6,410338471,-830639075,830639075,-819269916#2,-115604057#1",2.415676855800826
0,0,"441496282#0,-115604051#2,279952229#1,279952229#2,-115604048#1,115604048#1,279952229#3,-115604050#1,-115602933#2,115604047#1,279952229#5,115604057#1,-115604057#1",3.8946178471388557
1,0,"154551772#1,115604051#0,-115602933#5,-115602933#4,-115602933#3,115604050#1,279952229#4,279952229#5,115604057#1,-115604057#1",2.5852741096438576
1,0,"154551772#1,154551772#2,154551772#3,154551772#4,-115601277,115601277,154551772#5,115604048#0,-115602933#3,-115602933#2,-115602933#1,-115602933#0,819269916#1,-115604057#1",1.999721903323477
1,0,"154551772#1,154551772#2,154551772#3,154551772#4,-115601277,115601277,154551772#5,115604048#0,-115602933#3,-115602933#2,-115602933#1,-115604049,115604049,-115602933#0,819269916#1,-115604057#1",2.803283327893305
0,1,"441496282#0,-115604051#2,279952229#1,279952229#2,279952229#3,279952229#4,-279952229#4",1.288155262104842
0,1,"441496282#0,441496282#1,441496282#2,441496282#3,441496282#4,-115604047#2,-279952229#4",1.344417767106843
0,1,"441496282#0,441496282#1,441496282#2,441496282#3,-115604050#2,279952229#4,-279952229#4",1.322248899559824
1,1,"154551772#1,115604051#0,115604051#1,279952229#1,279952229#2,279952229#3,279952229#4,-279952229#4",1.7910364145658262
1,1,"154551772#1,154551772#2,154551772#3,115604043#0,-115602933#4,115604048#1,279952229#3,279952229#4,-279952229#4",1.7006771030946575
1,1,"154551772#1,154551772#2,154551772#3,154551772#4,-154551772#4,115604043#0,-115602933#4,-115602933#3,115604050#1,279952229#4,-279952229#4",1.6955148077949684
