--- Installing dependencies ---
Defaulting to user installation because normal site-packages is not writeable

[notice] A new release of pip is available: 24.2 -> 24.3.1
[notice] To update, run: pip install --upgrade pip
ERROR: Could not open requirements file: [Errno 2] No such file or directory: 'requirements.txt'
--- Running main.py ---
[I 2024-12-13 16:32:09,147] A new study created in memory with name: no-name-68aff836-4ebb-46e8-b381-88ab2cddf8c3
[I 2024-12-13 16:38:04,828] Trial 0 finished with value: -0.10750000178813934 and parameters: {'lr': 0.01, 'gamma': 0.9, 'max_grad_norm': 0.5, 'tau': 0.001}. Best is trial 0 with value: -0.10750000178813934.
[I 2024-12-13 16:44:00,439] Trial 1 finished with value: -0.11156666278839111 and parameters: {'lr': 1e-05, 'gamma': 0.85, 'max_grad_norm': 0.5, 'tau': 0.001}. Best is trial 0 with value: -0.10750000178813934.
[I 2024-12-13 16:49:56,241] Trial 2 finished with value: -0.1133333295583725 and parameters: {'lr': 1e-05, 'gamma': 0.9, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 0 with value: -0.10750000178813934.
[I 2024-12-13 16:55:54,946] Trial 3 finished with value: -0.11083333194255829 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 1.0, 'tau': 0.01}. Best is trial 0 with value: -0.10750000178813934.
[I 2024-12-13 17:01:49,663] Trial 4 finished with value: -0.1007000133395195 and parameters: {'lr': 1e-05, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 4 with value: -0.1007000133395195.
[I 2024-12-13 17:07:45,145] Trial 5 finished with value: -0.10483332723379135 and parameters: {'lr': 0.0001, 'gamma': 0.95, 'max_grad_norm': 0.5, 'tau': 0.001}. Best is trial 4 with value: -0.1007000133395195.
[I 2024-12-13 17:13:41,193] Trial 6 finished with value: -0.10766666382551193 and parameters: {'lr': 1e-05, 'gamma': 0.95, 'max_grad_norm': 0.5, 'tau': 0.1}. Best is trial 4 with value: -0.1007000133395195.
[I 2024-12-13 17:19:39,083] Trial 7 finished with value: -0.10633334517478943 and parameters: {'lr': 0.0001, 'gamma': 0.9, 'max_grad_norm': 1.5, 'tau': 0.01}. Best is trial 4 with value: -0.1007000133395195.
[I 2024-12-13 17:25:37,945] Trial 8 finished with value: -0.10871665924787521 and parameters: {'lr': 0.0001, 'gamma': 0.95, 'max_grad_norm': 1.0, 'tau': 0.01}. Best is trial 4 with value: -0.1007000133395195.
[I 2024-12-13 17:31:59,464] Trial 9 finished with value: -0.11699999868869781 and parameters: {'lr': 1e-05, 'gamma': 0.95, 'max_grad_norm': 1.0, 'tau': 0.01}. Best is trial 4 with value: -0.1007000133395195.
[I 2024-12-13 17:38:17,654] Trial 10 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 17:44:33,641] Trial 11 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 17:50:38,492] Trial 12 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 17:56:44,323] Trial 13 finished with value: -0.10066667199134827 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 18:02:45,327] Trial 14 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 18:08:52,464] Trial 15 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 18:15:13,009] Trial 16 finished with value: -0.11083333194255829 and parameters: {'lr': 0.01, 'gamma': 0.8, 'max_grad_norm': 1.5, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 18:21:33,134] Trial 17 finished with value: -0.10498332232236862 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 18:27:42,468] Trial 18 finished with value: -0.09565000236034393 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 18:33:43,465] Trial 19 finished with value: -0.10633334517478943 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.001}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 18:39:40,876] Trial 20 finished with value: -0.10066667199134827 and parameters: {'lr': 0.01, 'gamma': 0.85, 'max_grad_norm': 1.5, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 18:45:37,714] Trial 21 finished with value: -0.11441666632890701 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
