id,action,origin,destination,start_time
0,2,0,0,0
1,1,1,1,0
2,1,0,0,6
3,1,1,1,6
4,1,0,0,12
5,1,1,1,12
6,0,0,0,18
7,1,1,1,18
8,2,0,0,24
9,0,1,1,24
10,2,0,0,30
11,2,1,1,30
12,0,0,0,36
13,2,1,1,36
14,2,0,0,42
15,0,1,1,42
16,0,0,0,48
17,0,1,1,48
18,0,0,0,54
19,2,1,1,54
20,2,0,0,60
21,0,1,1,60
22,0,0,0,66
23,1,1,1,66
24,1,0,0,72
25,0,1,1,72
26,0,0,0,78
27,0,1,1,78
28,1,0,0,84
29,0,1,1,84
30,1,0,0,90
31,1,1,1,90
32,2,0,0,96
33,1,1,1,96
34,2,0,0,102
35,2,1,1,102
36,0,0,0,108
37,2,1,1,108
38,1,0,0,114
39,2,1,1,114
40,2,0,0,120
41,1,1,1,120
42,0,0,0,126
43,2,1,1,126
44,0,0,0,132
45,0,1,1,132
46,0,0,0,138
47,1,1,1,138
48,2,0,0,144
49,2,1,1,144
50,1,0,0,150
51,2,1,1,150
52,0,0,0,156
53,0,1,1,156
54,1,0,0,162
55,0,1,1,162
56,2,0,0,168
57,1,1,1,168
58,0,0,0,174
59,1,1,1,174
60,1,0,0,180
61,0,1,1,180
62,0,0,0,186
63,2,1,1,186
64,0,0,0,192
65,0,1,1,192
66,0,0,0,198
67,0,1,1,198
68,0,0,0,204
69,2,1,1,204
70,0,0,0,210
71,2,1,1,210
72,0,0,0,216
73,1,1,1,216
74,2,0,0,222
75,0,1,1,222
76,2,0,0,228
77,0,1,1,228
78,0,0,0,234
79,2,1,1,234
80,1,0,0,240
81,1,1,1,240
82,1,0,0,246
83,0,1,1,246
84,1,0,0,252
85,2,1,1,252
86,2,0,0,258
87,2,1,1,258
88,2,0,0,264
89,0,1,1,264
90,1,0,0,270
91,1,1,1,270
92,1,0,0,276
93,1,1,1,276
94,0,0,0,282
95,2,1,1,282
96,0,0,0,288
97,0,1,1,288
98,2,0,0,294
99,1,1,1,294
100,2,0,0,300
101,0,1,1,300
102,0,0,0,306
