id,action,origin,destination,start_time,epsilon
0,0,0,0,0,0.70
1,2,1,1,0,0.83
2,1,0,0,6,0.66
3,0,1,1,6,0.69
4,2,0,0,12,0.60
5,0,1,1,12,0.75
6,2,0,0,18,0.59
7,0,1,1,18,0.92
8,0,0,0,24,0.68
9,0,1,1,24,0.74
10,2,0,0,30,0.68
11,1,1,1,30,0.72
12,1,0,0,36,0.90
13,0,1,1,36,0.82
14,2,0,0,42,0.59
15,0,1,1,42,0.89
16,0,0,0,48,0.79
17,1,1,1,48,0.70
18,0,0,0,54,0.67
19,0,1,1,54,0.74
20,0,0,0,60,0.71
21,1,1,1,60,0.65
22,1,0,0,66,0.66
23,0,1,1,66,0.85
24,2,0,0,72,0.83
25,2,1,1,72,0.69
26,0,0,0,78,0.77
27,0,1,1,78,0.91
28,0,0,0,84,0.61
29,2,1,1,84,0.64
30,1,0,0,90,0.71
31,2,1,1,90,0.77
32,2,0,0,96,0.71
33,0,1,1,96,0.62
34,0,0,0,102,0.80
35,1,1,1,102,0.71
36,2,0,0,108,0.71
37,0,1,1,108,0.77
38,2,0,0,114,0.62
39,1,1,1,114,0.63
40,2,0,0,120,0.91
41,2,1,1,120,0.73
42,1,0,0,126,0.77
43,0,1,1,126,0.61
44,0,0,0,132,0.83
45,0,1,1,132,0.78
46,1,0,0,138,0.77
47,1,1,1,138,0.71
48,0,0,0,144,0.65
49,1,1,1,144,0.64
50,1,0,0,150,0.84
51,0,1,1,150,0.70
52,2,0,0,156,0.77
53,1,1,1,156,0.72
54,0,0,0,162,0.71
55,1,1,1,162,0.66
56,0,0,0,168,0.60
57,2,1,1,168,0.76
58,1,0,0,174,0.75
59,1,1,1,174,0.81
60,1,0,0,180,0.58
61,2,1,1,180,0.91
62,1,0,0,186,0.77
63,2,1,1,186,0.88
64,1,0,0,192,0.89
65,0,1,1,192,0.69
66,1,0,0,198,0.85
67,2,1,1,198,0.76
68,2,0,0,204,0.78
69,0,1,1,204,0.67
70,2,0,0,210,0.65
71,1,1,1,210,0.79
72,0,0,0,216,0.68
73,2,1,1,216,0.78
74,2,0,0,222,0.88
75,1,1,1,222,0.85
76,0,0,0,228,0.72
77,0,1,1,228,0.76
78,0,0,0,234,0.75
79,0,1,1,234,0.61
80,1,0,0,240,0.85
81,1,1,1,240,0.68
82,0,0,0,246,0.68
83,1,1,1,246,0.77
84,1,0,0,252,0.81
85,0,1,1,252,0.62
86,2,0,0,258,0.67
87,1,1,1,258,0.74
88,2,0,0,264,0.59
89,2,1,1,264,0.89
90,1,0,0,270,0.90
91,0,1,1,270,0.72
92,0,0,0,276,0.59
93,2,1,1,276,0.68
94,0,0,0,282,0.69
95,1,1,1,282,0.67
96,2,0,0,288,0.73
97,0,1,1,288,0.83
98,1,0,0,294,0.60
99,1,1,1,294,0.64
100,0,0,0,300,0.73
101,0,1,1,300,0.69
102,0,0,0,306,0.83
103,1,1,1,306,0.61
104,1,0,0,312,0.62
105,1,1,1,312,0.72
106,0,0,0,318,0.80
107,1,1,1,318,0.77
108,1,0,0,324,0.67
109,1,1,1,324,0.71
110,0,0,0,330,0.79
111,0,1,1,330,0.94
112,2,0,0,336,0.63
113,1,1,1,336,0.75
114,1,0,0,342,0.91
115,0,1,1,342,0.75
116,2,0,0,348,0.72
117,1,1,1,348,0.86
118,1,0,0,354,0.84
119,1,1,1,354,0.89
120,0,0,0,360,0.65
121,2,1,1,360,0.80
122,0,0,0,366,0.62
123,2,1,1,366,0.75
124,0,0,0,372,0.77
125,1,1,1,372,0.90
126,2,0,0,378,0.67
127,1,1,1,378,0.77
128,1,0,0,384,0.88
129,2,1,1,384,0.76
130,0,0,0,390,0.82
131,2,1,1,390,0.61
132,2,0,0,396,0.63
133,0,1,1,396,0.91
134,0,0,0,402,0.74
135,1,1,1,402,0.69
136,2,0,0,408,0.64
137,0,1,1,408,0.82
138,1,0,0,414,0.70
139,1,1,1,414,0.72
140,0,0,0,420,0.82
141,0,1,1,420,0.72
142,1,0,0,426,0.80
143,0,1,1,426,0.66
144,0,0,0,432,0.77
145,0,1,1,432,0.75
146,1,0,0,438,0.79
147,2,1,1,438,0.89
148,2,0,0,444,0.86
149,1,1,1,444,0.88
150,0,0,0,450,0.77
151,2,1,1,450,0.64
152,2,0,0,456,0.65
153,2,1,1,456,0.89
154,2,0,0,462,0.61
155,1,1,1,462,0.79
156,0,0,0,468,0.81
157,2,1,1,468,0.86
158,1,0,0,474,0.69
159,1,1,1,474,0.78
160,1,0,0,480,0.83
161,0,1,1,480,0.67
162,1,0,0,486,0.74
163,1,1,1,486,0.76
164,2,0,0,492,0.83
165,2,1,1,492,0.70
166,1,0,0,498,0.71
167,1,1,1,498,0.68
