id,epsilon,q_table
0,0.41,-21.09  -27.50  -30.42
1,0.58,-12.54  -14.24  -19.50
2,0.79,-28.95  0.00  -27.88
3,0.46,-15.38  -10.50  -11.57
4,0.53,-21.99  -21.89  -19.51
5,0.64,-23.63  -20.21  -19.76
6,0.70,-4.63  -22.91  -14.41
7,0.54,-19.40  -16.92  -30.12
8,0.76,-12.23  -17.66  -9.67
9,0.81,0.00  -16.66  -28.28
10,0.70,-31.86  -24.02  0.00
11,0.64,-30.50  -13.17  -23.21
12,0.48,-19.44  -19.20  -18.52
13,0.74,-26.08  -27.61  -31.81
14,0.72,-13.84  -11.96  -18.57
15,0.67,-13.05  -15.69  -10.79
16,0.64,-10.03  -21.11  -23.08
17,0.48,-22.15  -34.95  -33.90
18,0.50,-16.18  -15.31  -15.89
19,0.72,-25.84  0.00  -20.10
20,0.52,-21.35  -30.43  -14.43
21,0.69,-20.13  -12.52  -17.48
22,0.60,-16.94  -12.62  -15.90
23,0.59,-14.69  -12.18  -9.25
24,0.57,-20.90  -18.15  -19.13
25,0.58,-10.05  -9.46  -25.54
26,0.56,-8.23  -7.49  -21.68
27,0.77,-24.42  -17.85  -33.48
28,0.74,-12.65  -13.83  -10.55
29,0.60,-10.65  -14.28  -36.55
30,0.58,-28.90  -17.29  -26.30
31,0.61,-26.53  -12.74  -13.39
32,0.51,-10.77  -14.86  -25.03
33,0.69,-11.56  -11.79  -23.29
34,0.55,-7.81  -12.42  -22.73
35,0.68,-31.41  -23.04  -10.98
36,0.71,-31.29  -18.83  -23.84
37,0.62,-20.74  -19.72  -19.93
38,0.57,-19.22  -15.19  -17.30
39,0.54,-10.44  -22.72  0.00
40,0.81,-14.00  -23.94  -17.28
41,0.74,-14.63  -22.94  -24.97
42,0.66,-19.86  -21.38  -36.18
43,0.54,-20.91  -22.83  -20.25
44,0.70,-17.92  -22.12  -14.40
45,0.72,-18.37  0.00  -31.89
46,0.47,-16.35  -12.80  -4.55
47,0.58,-18.00  -20.40  -20.13
48,0.77,-23.04  -19.00  -19.40
49,0.46,-19.27  -20.39  -24.94
50,0.66,-7.60  -10.46  -22.90
51,0.74,-16.33  -33.97  -16.31
52,0.65,-14.58  -15.12  -24.47
53,0.44,-27.93  -20.34  -24.84
54,0.69,-27.65  -15.40  -12.86
