id,q-table
0,-13.96  -15.85  -10.35
1,-17.99  0.00  -20.03
2,-11.62  -4.77  -4.91
3,-8.81  -10.05  -9.21
4,-20.87  0.00  -20.86
5,-15.29  -12.13  0.00
6,-10.66  0.00  -11.13
7,-17.31  0.00  -9.07
8,-32.60  0.00  0.00
9,-33.22  -19.78  0.00
10,0.00  -13.22  -14.34
11,0.00  -25.29  -16.85
12,-31.72  -16.52  0.00
13,-11.42  -11.42  -10.05
14,-10.94  -11.84  -8.68
15,-14.61  -18.74  0.00
16,-30.70  0.00  -17.61
17,-7.66  -18.07  0.00
18,-9.91  -21.62  -12.55
19,-13.24  -9.15  -14.74
20,-28.28  -12.15  0.00
21,-9.40  -18.89  0.00
22,-17.19  -16.75  -13.18
23,-34.54  -21.16  0.00
24,-10.60  0.00  -5.76
25,-10.37  0.00  -11.82
26,-10.11  -9.32  -8.35
27,-5.41  -7.52  -5.61
28,-18.96  -15.51  -15.09
29,-13.73  -19.67  -19.23
30,-19.49  -18.96  -9.90
31,0.00  -10.80  -5.59
32,-10.25  -8.69  -8.29
33,-17.25  -9.46  -16.35
34,-19.81  -9.66  0.00
35,-20.38  -19.48  0.00
36,0.00  -15.93  -23.94
37,-8.81  -8.15  -6.72
38,-12.74  -15.24  -12.99
39,-10.97  -11.10  -8.55
40,0.00  0.00  -15.38
41,-9.23  -8.85  -14.78
42,0.00  -18.63  -12.28
43,-30.44  0.00  -12.28
44,-7.33  -14.31  0.00
45,-18.93  0.00  -7.03
46,-11.21  -17.83  -15.32
47,-8.77  -14.39  -8.45
48,-6.15  -6.53  -10.38
49,-5.94  -16.13  0.00
50,-17.06  -8.76  0.00
51,-7.78  -15.97  -11.40
52,-16.21  -19.38  -8.40
53,-11.13  -6.29  -13.99
54,-24.39  -11.15  0.00
55,-28.86  -12.59  0.00
56,-7.45  -13.24  -9.66
57,-17.25  0.00  -7.89
58,-28.66  -10.08  0.00
59,-12.62  -19.56  0.00
60,-13.99  -9.82  -11.85
61,0.00  -8.14  -16.20
62,-5.42  -5.06  -7.68
63,-7.62  -11.44  -8.40
64,-11.59  -9.49  0.00
65,-9.83  -10.94  -7.21
66,0.00  -19.15  -10.38
67,-9.69  -21.70  -12.33
68,-12.54  -7.41  -12.22
69,-12.73  -4.54  0.00
70,-7.38  -8.45  -10.07
71,-15.12  -6.80  0.00
72,-9.72  -11.57  -7.60
73,-8.09  -8.19  -11.04
74,-8.02  -5.95  -10.76
75,-15.65  -29.35  0.00
76,-7.88  -7.99  -18.33
77,-8.13  -8.26  -6.88
78,-13.48  -7.40  0.00
79,-17.30  -13.93  -11.76
80,0.00  -12.16  -9.65
81,-16.41  -6.45  0.00
82,-6.76  -12.99  0.00
83,-10.01  -28.26  0.00
84,-8.10  -15.20  0.00
85,-13.38  0.00  -30.47
86,-17.33  -10.43  -15.93
87,-13.56  -21.01  0.00
88,-12.66  -7.72  -6.81
89,-17.94  -21.45  -23.88
90,-14.91  -9.54  -9.49
91,-16.23  -14.19  -18.80
92,-19.82  -15.32  0.00
93,-10.58  0.00  -11.01
94,-24.71  -15.53  0.00
95,-21.89  -18.07  -10.80
96,-13.78  0.00  -27.21
97,-13.72  -14.36  0.00
98,-6.10  -12.12  -7.83
99,-17.63  -18.40  0.00
100,-12.00  0.00  -13.49
