travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
5.333333333333333,1814,AV,1,11,20,3152,-5.333333333333333,"0,0,0,0"
8.283333333333333,733,AV,1,17,3,1325,-8.283333333333333,"0,0,0,0"
8.483333333333333,556,AV,3,0,2,1011,-8.483333333333333,"0,0,0,0"
3.3666666666666667,1070,AV,2,7,112,1865,-3.3666666666666667,"0,0,0,0"
4.333333333333333,1008,AV,2,0,3,1740,-4.333333333333333,"0,0,0,0"
6.333333333333333,964,AV,1,21,10,1650,-6.333333333333333,"0,0,0,0"
6.183333333333334,792,AV,0,7,10,1409,-6.183333333333334,"0,0,0,0"
5.033333333333333,715,AV,1,16,18,1307,-5.033333333333333,"0,0,0,0"
9.65,1898,AV,0,8,4,3377,-9.65,"0,0,0,0"
8.7,1628,AV,1,11,61,2848,-8.7,"0,0,0,0"
5.866666666666666,684,AV,3,11,3,1244,-5.866666666666666,"0,0,0,0"
3.85,1723,AV,3,7,9,2967,-3.85,"0,0,0,0"
3.7,1377,AV,3,62,20,2368,-3.7,"0,0,0,0"
5.733333333333333,571,AV,2,4,5,1052,-5.733333333333333,"0,0,0,0"
5.166666666666667,567,AV,2,1,1,1046,-5.166666666666667,"0,0,0,0"
4.766666666666667,700,AV,3,0,3,1278,-4.766666666666667,"0,0,0,0"
4.983333333333333,960,AV,2,21,10,1642,-4.983333333333333,"0,0,0,0"
2.6166666666666667,991,AV,2,21,21,1695,-2.6166666666666667,"0,0,0,0"
3.4,1553,AV,3,7,9,2735,-3.4,"0,0,0,0"
3.9166666666666665,1754,AV,2,34,9,3016,-3.9166666666666665,"0,0,0,0"
3.05,560,AV,0,0,77,1020,-3.05,"0,0,0,0"
6.933333333333334,1671,AV,2,13,4,2911,-6.933333333333334,"0,0,0,0"
8.233333333333333,921,AV,3,115,2,1591,-8.233333333333333,"0,0,0,0"
3.9166666666666665,1994,AV,3,0,3,3560,-3.9166666666666665,"0,0,0,0"
11.483333333333333,1857,AV,2,4,20,3262,-11.483333333333333,"0,0,0,0"
5.216666666666667,1965,AV,3,17,5,3493,-5.216666666666667,"0,0,0,0"
5.983333333333333,1639,AV,3,11,3,2862,-5.983333333333333,"0,0,0,0"
5.966666666666667,1380,AV,0,4,2,2377,-5.966666666666667,"0,0,0,0"
5.9,968,AV,3,17,5,1654,-5.9,"0,0,0,0"
3.316666666666667,1442,AV,2,0,3,2520,-3.316666666666667,"0,0,0,0"
5.75,1735,AV,0,11,3,2983,-5.75,"0,0,0,0"
5.416666666666667,1090,AV,3,11,3,1900,-5.416666666666667,"0,0,0,0"
2.7666666666666666,518,AV,1,80,3,942,-2.7666666666666666,"0,0,0,0"
