id,origin,destination,start_time,kind
0,0,0,2673,Human
1,1,1,2075,Human
2,2,2,70,Human
3,3,3,2919,Human
4,4,4,3399,Human
5,5,5,569,Human
6,6,6,1548,Human
7,7,7,2448,Human
8,8,8,1882,Human
9,9,9,2853,Human
10,10,10,3000,Human
11,11,11,2609,Human
12,12,11,2927,Human
13,13,9,850,Human
14,14,12,1175,Human
15,15,13,2075,Human
16,16,11,154,Human
17,17,14,2854,Human
18,18,15,637,Human
19,19,16,1679,Human
20,20,17,2360,Human
21,21,18,3260,Human
22,22,11,1822,Human
23,23,19,2181,Human
24,24,11,2326,Human
25,25,19,2236,Human
26,26,20,271,Human
27,27,21,2750,Human
28,28,22,131,Human
29,29,23,360,Human
30,30,10,3592,Human
31,31,24,1839,Human
32,32,25,1541,Human
33,33,26,2441,Human
34,34,0,2432,Human
35,34,19,2198,Human
36,35,10,1197,Human
37,36,27,1317,Human
38,37,11,1526,Human
39,36,28,2964,Human
40,38,11,852,Human
41,39,11,2430,Human
42,40,29,595,Human
43,41,19,1745,Human
44,42,30,257,Human
45,43,11,2429,Human
46,44,11,2694,Human
47,45,31,476,Human
48,37,19,3350,Human
49,33,8,810,Human
50,46,25,2310,Human
51,47,19,1026,Human
52,48,32,2526,Human
53,49,9,1962,Human
54,50,33,1539,Human
55,51,11,1235,Human
56,34,34,1283,Human
57,35,19,3259,Human
58,37,8,1571,Human
59,46,35,3071,Human
60,52,35,958,Human
61,37,36,3358,Human
62,28,8,2417,Human
63,53,37,2518,Human
64,54,19,3178,Human
65,54,11,3560,Human
66,55,11,2858,Human
67,56,6,853,Human
68,7,38,2353,Human
69,57,39,3516,Human
70,58,40,1518,Human
71,59,41,2178,Human
72,60,9,2561,Human
73,61,11,3465,Human
74,62,42,3139,Human
75,45,43,3389,Human
76,63,44,3008,Human
77,64,45,2267,Human
78,65,46,1411,Human
79,66,47,15,Human
80,67,10,1230,Human
81,68,40,587,Human
82,59,48,1187,Human
83,69,41,3476,Human
84,70,11,1615,Human
85,71,11,1967,Human
86,17,49,3467,Human
87,11,19,2571,Human
88,4,50,357,Human
89,17,42,1893,Human
90,42,10,1627,Human
91,72,51,3242,Human
92,73,19,3500,Human
93,74,52,1806,Human
94,0,53,2201,Human
95,75,54,1708,Human
96,58,9,1644,Human
97,76,55,2844,Human
98,17,56,1309,Human
99,77,24,2712,Human
100,78,10,2104,Human
101,39,54,1318,Human
102,30,57,2265,Human
103,48,58,2125,Human
104,79,11,2347,Human
105,36,59,2102,Human
106,42,6,466,Human
107,7,60,2266,Human
108,80,61,1605,Human
109,34,10,807,Human
110,75,19,800,Human
111,48,62,2300,Human
112,17,58,2061,Human
113,81,61,1219,Human
114,82,8,234,Human
115,46,63,1734,Human
116,41,10,981,Human
117,36,64,2481,Human
118,83,42,1027,Human
119,36,65,731,Human
120,84,22,1262,Human
121,85,66,1236,Human
122,42,22,13,Human
123,40,41,3480,Human
124,41,11,2813,Human
125,86,25,2819,Human
126,87,11,385,Human
127,17,67,2485,Human
128,88,58,2549,Human
129,89,61,188,Human
130,90,10,208,Human
131,36,68,3208,Human
132,91,69,3152,Human
133,92,41,1156,Human
134,72,70,2656,Human
135,2,71,445,Human
136,93,72,3308,Human
137,94,11,574,Human
138,17,73,2674,Human
139,95,54,1954,Human
140,36,74,1415,Human
141,94,70,3059,Human
142,17,41,1461,Human
143,20,11,2982,Human
144,96,10,3470,Human
145,17,75,1184,Human
146,97,76,1553,Human
147,39,9,3307,Human
148,98,25,1356,Human
149,24,77,1953,Human
150,99,61,1951,Human
151,100,46,1693,Human
152,101,78,3345,Human
153,27,10,1737,Human
154,102,79,1388,Human
155,103,80,589,Human
156,104,6,1874,Human
157,105,77,2601,Human
158,106,41,124,Human
159,72,81,3124,Human
160,107,82,598,Human
161,108,83,1258,Human
162,109,11,231,Human
163,17,29,2331,Human
164,94,11,1391,Human
165,36,4,1735,Human
166,110,41,3360,Human
167,111,22,1662,Human
168,8,77,400,Human
169,112,11,175,Human
170,17,84,2275,Human
171,111,11,3385,Human
172,106,72,1834,Human
173,113,85,2938,Human
174,60,77,1553,Human
175,114,61,1655,Human
176,115,77,626,Human
177,116,11,2108,Human
178,39,10,2274,Human
179,18,86,3289,Human
180,117,87,486,Human
181,84,8,2797,Human
182,46,19,3397,Human
183,118,11,2345,Human
184,107,88,2647,Human
185,36,89,2351,Human
186,119,10,1091,Human
187,102,46,191,Human
188,17,32,3048,Human
189,81,41,2235,Human
190,117,9,836,Human
191,76,90,1436,Human
192,48,91,414,Human
193,72,92,2650,Human
194,112,11,3217,Human
195,114,41,1993,Human
196,120,10,2330,Human
197,48,68,2576,Human
198,77,61,1390,Human
199,12,93,2641,Human
200,121,94,3491,Human
201,113,8,2821,Human
202,22,10,593,Human
203,36,95,3293,Human
204,57,8,2458,Human
205,25,22,117,Human
206,122,86,2808,Human
207,123,8,3307,Human
208,27,6,3506,Human
209,124,96,1957,Human
210,33,39,1026,Human
211,17,97,2397,Human
212,125,9,1808,Human
213,126,98,1440,Human
214,79,99,1424,Human
215,46,38,1790,Human
216,58,8,1027,Human
217,46,55,2827,Human
218,127,1,494,Human
219,128,10,922,Human
220,123,41,1433,Human
221,129,77,465,Human
222,19,41,395,Human
223,96,5,583,Human
224,88,100,76,Human
225,130,19,3567,Human
226,125,10,3484,Human
227,131,12,3186,Human
228,127,101,316,Human
229,132,102,278,Human
230,133,103,356,Human
231,24,79,187,Human
232,134,23,1087,Human
233,135,41,2047,Human
234,136,10,3535,Human
235,137,61,137,Human
236,75,34,1129,Human
237,138,11,2593,Human
238,139,11,3142,Human
239,140,19,2720,Human
240,141,77,3100,Human
241,142,22,282,Human
242,143,41,487,Human
243,144,104,1503,Human
244,114,105,2730,Human
245,58,22,1787,Human
246,87,10,1565,Human
247,36,67,2465,Human
248,72,84,791,Human
