travel_time,id,kind,action,origin,destination,start_time,reward,reward_right,cost_table
4.75,0,Human,2,0,0,99,-4.75,-4.75,"-34.119824276285705,-34.983064092953526,-35.43367668354118"
2.3666666666666667,1,Human,1,1,0,58,-2.3666666666666667,-2.3666666666666667,"-12.696897934042601,-13.18686565316433,-12.892554193135197"
5.0,2,Human,0,0,0,112,-5.0,-5.0,"-38.287398877331874,-38.17328395445849,-38.36300559725566"
5.2,3,Human,0,0,0,118,-5.2,-5.2,"-42.08081314160138,-40.50475382672712,-41.00890129864127"
1.4333333333333333,4,Human,0,1,0,31,-1.4333333333333333,-1.4333333333333333,"-12.393683671219605,-12.321319192494895,-12.709699757869519"
2.8666666666666667,5,Human,2,0,0,50,-2.8666666666666667,-2.8666666666666667,"-16.631957018250997,-17.751559727287244,-17.24878093058243"
5.933333333333334,6,Human,1,0,0,93,-5.933333333333334,-5.933333333333334,"-29.459062045588524,-30.17968498815059,-28.674916436758238"
3.533333333333333,7,Human,2,0,0,80,-3.533333333333333,-3.533333333333333,"-25.524432994750985,-25.424330528629337,-25.92475055613813"
2.1333333333333333,8,Human,0,1,0,89,-2.1333333333333333,-2.1333333333333333,"-22.18626049419662,-21.739796809196253,-22.33406066098277"
3.7666666666666666,9,Human,0,1,1,64,-3.7666666666666666,-3.7666666666666666,"-35.73433840356911,-34.601282556945975,-35.382012309804566"
5.05,10,Human,0,0,0,116,-5.05,-5.05,"-40.8370133495537,-39.29563950415259,-40.10954296115923"
7.433333333333334,11,Human,2,1,1,113,-7.433333333333334,-7.433333333333334,"-49.59717205957301,-49.553705396547784,-50.562732139235095"
3.783333333333333,12,Human,2,1,0,91,-3.783333333333333,-3.783333333333333,"-21.78212659133045,-22.24608625260794,-22.79628479219001"
5.116666666666666,13,Human,0,0,1,123,-5.116666666666666,-5.116666666666666,"-37.29903269351524,-35.791130327886044,-35.95019431055892"
4.766666666666667,14,Human,2,0,0,104,-4.766666666666667,-4.766666666666667,"-34.23104730074528,-35.61049326458349,-35.43093362502911"
2.3,15,Human,0,1,0,64,-2.3,-2.3,"-19.266819324278725,-19.05064643823972,-18.980877943831835"
7.6,16,Human,2,1,1,101,-7.6,-7.6,"-46.53608937443806,-46.75775515138789,-47.820070060362546"
3.45,17,Human,1,1,0,61,-3.45,-3.45,"-19.965077214103168,-20.579206449133398,-20.14154220982963"
3.6166666666666667,18,Human,1,1,0,116,-3.6166666666666667,-3.6166666666666667,"-26.397208192384774,-26.942880853207267,-26.645658381646278"
3.8,19,Human,2,1,0,88,-3.8,-3.8,"-21.84748153792811,-21.59030301115576,-22.457821316595307"
6.4,20,Human,2,1,1,84,-6.4,-6.4,"-41.400401675996946,-42.44156524412457,-43.24754435036475"
4.666666666666667,21,Human,1,0,0,69,-4.666666666666667,-4.666666666666667,"-25.700852465831325,-26.284716846207655,-26.00512857377882"
5.1,22,Human,0,0,0,126,-5.1,-5.1,"-41.2511378414682,-40.25830361693617,-40.38499774379118"
3.8,23,Human,2,1,0,85,-3.8,-3.8,"-21.124196297040342,-21.188465187607225,-21.996729554164418"
2.7333333333333334,24,Human,0,0,0,77,-2.7333333333333334,-2.7333333333333334,"-25.817045558022038,-25.267099677538692,-25.18376672375162"
5.016666666666667,25,Human,2,1,1,79,-5.016666666666667,-5.016666666666667,"-41.10318368603231,-41.50966953204749,-41.28057827483646"
6.116666666666666,26,Human,0,1,1,105,-6.116666666666666,-6.116666666666666,"-49.38133439315687,-49.181136770407434,-48.05893240845778"
3.95,27,Human,1,0,1,100,-3.95,-3.95,"-27.344426004899702,-28.518408247160014,-28.531051130459886"
3.0,28,Human,1,1,0,102,-3.0,-3.0,"-22.77200559952389,-23.666885635214964,-23.5212908139721"
3.65,29,Human,2,1,0,102,-3.65,-3.65,"-23.731572951435265,-23.632031478112097,-24.042217742884315"
7.9,30,Human,1,0,0,154,-7.9,-7.9,"-43.27529934403727,-44.72293820828893,-42.56510348170799"
2.8666666666666667,31,Human,0,0,1,77,-2.8666666666666667,-2.8666666666666667,"-20.39579533571674,-19.554359628167095,-20.302734163078828"
5.166666666666667,32,Human,2,1,1,74,-5.166666666666667,-5.166666666666667,"-36.25351289813816,-36.29301506938385,-36.23279864509558"
2.9166666666666665,33,Human,1,0,1,65,-2.9166666666666665,-2.9166666666666665,"-15.117451045572333,-15.459593275229713,-15.067377610734736"
4.35,34,Human,0,0,0,108,-4.35,-4.35,"-37.25530425153346,-37.99648714327723,-37.7789922604901"
5.15,35,Human,0,0,1,123,-5.15,-5.15,"-37.12214757763148,-35.94158444289878,-36.221848444766906"
6.366666666666666,36,Human,2,1,1,86,-6.366666666666666,-6.366666666666666,"-41.98349722160222,-42.19914863962885,-43.06882781196351"
2.7666666666666666,37,Human,2,0,0,64,-2.7666666666666666,-2.7666666666666666,"-19.58191441305562,-20.094514410093538,-19.671471114505877"
3.5,38,Human,1,1,0,65,-3.5,-3.5,"-20.402985621887087,-20.83500135409182,-20.772251362906314"
7.6,39,Human,1,1,1,109,-7.6,-7.6,"-49.93308609011104,-50.97669020467458,-49.31237974463092"
3.6333333333333333,40,Human,1,1,0,112,-3.6333333333333333,-3.6333333333333333,"-26.74161794985096,-27.053127330954528,-26.192443210308323"
4.783333333333333,41,Human,2,1,0,106,-4.783333333333333,-4.783333333333333,"-24.954444169418192,-25.355508726890985,-26.041644149804426"
2.9,42,Human,0,0,1,70,-2.9,-2.9,"-20.565342101996443,-19.72030770408482,-20.601271911618912"
4.666666666666667,43,Human,0,1,1,96,-4.666666666666667,-4.666666666666667,"-41.77217096432707,-41.74344127659607,-42.35957158870035"
2.1,44,Human,0,1,0,93,-2.1,-2.1,"-21.604806879904054,-22.22561631346988,-22.182762451892298"
3.9833333333333334,45,Human,1,0,1,96,-3.9833333333333334,-3.9833333333333334,"-27.554532909999097,-28.734711076331948,-28.795492944498783"
7.233333333333333,46,Human,1,0,0,116,-7.233333333333333,-7.233333333333333,"-39.63942274429661,-41.67409536984056,-40.394408920219114"
4.733333333333333,47,Human,2,0,0,96,-4.733333333333333,-4.733333333333333,"-34.00458841542374,-34.56034615900092,-35.07158932112141"
3.8666666666666667,48,Human,1,0,1,110,-3.8666666666666667,-3.8666666666666667,"-28.642377168972065,-28.98701409599541,-28.454727433835654"
4.033333333333333,49,Human,1,0,1,92,-4.033333333333333,-4.033333333333333,"-22.22654400692576,-22.931732034591537,-22.88328474960815"
7.683333333333334,50,Human,2,1,1,98,-7.683333333333334,-7.683333333333334,"-48.1970463374958,-48.10979445186614,-48.820577325248564"
4.8,51,Human,2,1,0,108,-4.8,-4.8,"-25.152658575567624,-25.53609907069333,-26.542743380492652"
1.8,52,Human,0,0,1,46,-1.8,-1.8,"-12.537366827936015,-12.349632888485047,-12.579785033690332"
3.3333333333333335,53,Human,1,1,0,80,-3.3333333333333335,-3.3333333333333335,"-20.57381866429479,-21.485011489831937,-21.31194590097694"
5.066666666666666,54,Human,0,1,1,75,-5.066666666666666,-5.066666666666666,"-41.55463491781162,-41.2629970465141,-40.21057373877407"
2.9166666666666665,55,Human,0,0,1,70,-2.9166666666666665,-2.9166666666666665,"-20.69967613401008,-19.873510009199535,-20.73884454944361"
2.8833333333333333,56,Human,0,0,1,81,-2.8833333333333333,-2.8833333333333333,"-20.710037675205246,-19.87315987131138,-19.91875560365819"
5.0,57,Human,0,0,0,134,-5.0,-5.0,"-40.587450376611514,-39.68834662383351,-39.57021977483345"
3.4833333333333334,58,Human,1,1,0,64,-3.4833333333333334,-3.4833333333333334,"-20.248054987283666,-20.96155465093352,-20.70916055635893"
5.133333333333334,59,Human,0,0,1,119,-5.133333333333334,-5.133333333333334,"-37.45435834537576,-35.94992907157748,-36.053046217968344"
1.7333333333333334,60,Human,0,0,0,39,-1.7333333333333334,-1.7333333333333334,"-15.797207512522714,-15.546602279423661,-15.315306684567572"
6.5,61,Human,1,1,1,79,-6.5,-6.5,"-40.60710367072071,-42.495112652421284,-41.857029832582484"
3.816666666666667,62,Human,0,0,0,94,-3.816666666666667,-3.816666666666667,"-31.74776835678869,-31.872563352475243,-31.559887647060282"
7.6,63,Human,1,1,1,107,-7.6,-7.6,"-48.24459022108263,-48.812680975594944,-47.084749105183896"
