travel_time,id,kind,action,origin,destination,start_time,reward,reward_right,cost_table
4.183333333333334,0,Human,0,0,0,99,-4.183333333333334,-4.183333333333334,"-4.669941711487239,-5.190606226425739,-4.883860621022613"
1.3333333333333333,1,Human,0,1,0,58,-1.3333333333333333,-1.3333333333333333,"-1.3285023993862668,-1.391430314814941,-1.2800719342291889"
5.7,2,Human,2,0,0,112,-5.7,-5.7,"-5.404752630595678,-5.331653058381662,-6.185820300461631"
5.766666666666667,3,Human,2,0,0,118,-5.766666666666667,-5.766666666666667,"-5.846807476576144,-5.8042425900621035,-6.197979078322889"
1.7333333333333334,4,Human,1,1,0,31,-1.7333333333333334,-1.7333333333333334,"-1.0945742751688863,-1.2866219000891708,-1.5790388763779493"
1.6833333333333333,5,Human,0,0,0,50,-1.6833333333333333,-1.6833333333333333,"-1.6148043119471338,-1.6145731685744997,-1.4149337489965672"
3.816666666666667,6,Human,0,0,0,93,-3.816666666666667,-3.816666666666667,"-3.8605377545626203,-4.064986391714996,-3.5083284397053074"
3.75,7,Human,2,0,0,80,-3.75,-3.75,"-2.7427628985646235,-3.6211847388224334,-3.4875358025903562"
2.9833333333333334,8,Human,0,1,0,89,-2.9833333333333334,-2.9833333333333334,"-3.6204889440211967,-3.629240232170313,-3.1881297854688584"
5.216666666666667,9,Human,2,1,1,64,-5.216666666666667,-5.216666666666667,"-4.650990648931771,-3.279275685903418,-4.831907410752358"
5.716666666666667,10,Human,2,0,0,116,-5.716666666666667,-5.716666666666667,"-5.657820499366027,-5.299283912376153,-6.06396330071207"
7.466666666666667,11,Human,1,1,1,113,-7.466666666666667,-7.466666666666667,"-7.652349276530068,-8.110780819887891,-6.1803609544538345"
2.9833333333333334,12,Human,0,1,0,91,-2.9833333333333334,-2.9833333333333334,"-3.6204889440211967,-3.629240232170313,-3.1881297854688584"
5.05,13,Human,0,0,1,123,-5.05,-5.05,"-5.966340781392635,-5.94084181154313,-4.619861435878518"
4.2,14,Human,0,0,0,104,-4.2,-4.2,"-4.692919422481479,-5.20823708042023,-4.906838332016854"
2.15,15,Human,0,1,0,64,-2.15,-2.15,"-2.8743104043039636,-2.6834413340986876,-2.562647691804946"
7.6,16,Human,2,1,1,101,-7.6,-7.6,"-6.279665830499514,-6.11467513493923,-7.701034633391976"
3.3333333333333335,17,Human,2,1,0,61,-3.3333333333333335,-3.3333333333333335,"-2.220482113886643,-2.5777939511785775,-2.992606369490897"
3.65,18,Human,1,1,0,116,-3.65,-3.65,"-4.203859273916695,-4.408685511408981,-4.2406779948352495"
2.95,19,Human,0,1,0,88,-2.95,-2.95,"-3.4659571497448494,-3.6116093781758227,-3.1657468653586656"
6.5,20,Human,2,1,1,84,-6.5,-6.5,"-5.195631270018673,-4.9343721046362,-6.543364961466107"
3.8333333333333335,21,Human,2,0,0,69,-3.8333333333333335,-3.8333333333333335,"-2.852304596536074,-3.2645731685744996,-3.597672291445854"
5.683333333333334,22,Human,2,0,0,126,-5.683333333333334,-5.683333333333334,"-5.722990797387563,-5.698457466095161,-6.068446145690782"
2.966666666666667,23,Human,0,1,0,85,-2.966666666666667,-2.966666666666667,"-3.399221043376887,-3.59418513575158,-3.040471383265002"
3.7666666666666666,24,Human,2,0,0,77,-3.7666666666666666,-3.7666666666666666,"-2.7187270858924473,-3.630482259483591,-3.5057614474688936"
6.45,25,Human,2,1,1,79,-6.45,-6.45,"-4.724300190629742,-4.886024997198184,-6.51898479617685"
7.7,26,Human,2,1,1,105,-7.7,-7.7,"-6.3578964841433905,-6.172319763038404,-8.150314623374447"
3.9,27,Human,0,0,1,100,-3.9,-3.9,"-4.352366326095866,-4.334424330952096,-4.56469614662232"
4.533333333333333,28,Human,2,1,0,102,-4.533333333333333,-4.533333333333333,"-3.0671700678060017,-2.9742126839609466,-4.593589339688743"
4.566666666666666,29,Human,2,1,0,102,-4.566666666666666,-4.566666666666666,"-3.1131254897944816,-3.2094743919499273,-4.639544761677223"
6.166666666666667,30,Human,2,0,0,154,-6.166666666666667,-6.166666666666667,"-6.0209935522085,-5.882686116232902,-6.80979976452374"
