detid,flow
-10427692#1,0
-10427692#2,0
-10427692#3,0
-10427692#4,0
-10427692#5,0
-10427692#6,0
-10427692#7,0
-10427692#8,0
-136728347#4,0
-160314345#0,0
-170018165#0,0
-174800513,0
-18809672#6,0
-18813598#1,0
-18813598#6,0
-18813598#7,0
-18813598#8,0
-201201945#0,0
-201201945#0.78,0
-201201945#1,0
-201201945#2,0
-201201945#6,0
-201201945#7,0
-201201945#8,0
-201238718#0,0
-201238718#1,0
-201238724,0
-201238726#0,0
-201238726#0.98,0
-201238726#1,0
-201950263#6,0
-201963522#9,0
-224892339#3,0
-22690205#1,0
-22690205#2,0
-22690205#3,0
-22716072#3,0
-22716072#5,0
-22716549#6,0
-233675413#0,0
-233675413#1,0
-233675413#2,0
-233675413#3,0
-23436553#1,0
-23436553#2,0
-24634411,0
-24634507,0
-24634508,0
-24634509#0,0
-24693977#0,0
-24693977#1,0
-25117391#1,0
-25117391#2,0
-25136986,0
-25145011#0,0
-25145011#2,0
-25145012#4,0
-25145012#5,0
-25145013#0,0
-25145013#1,0
-25187895#0,0
-25187896,0
-26642362#0,0
-26642362#5,0
-26677214#5,0
-26677542#0,0
-28111977#6,0
-28111977#7,0
-28111977#8,0
-28111977#9,0
-28319300#2,0
-315358255#4,0
-315392062#4,0
-32124745,0
-37681424#0,0
-37681424#1,0
-41203916#3,0
-653473568#0,0
-653473568#1,0
-653473569#0,0
-653473569#1,0
-653473569#2,0
-83304175#2,0
104010439#1,0
104010475#0,0
104012170,0
137133006#0,0
137133006#1,0
164051413,0
170425366#0,0
172488483#0,0
173203413#0,0
176550246,0
18809672#0,0
18809672#2,0
18809672#5,0
18809672#7,0
201089420#0,0
201089423#0,0
201089423#2,0
201201950#0,0
201201953#10,0
201201953#12,0
201201953#4,0
201963522#5,0
202070434#0,0
202070434#2,0
204588664#0,31
224892361#3,0
224892361#7,0
22724699#0,0
22724699#2,0
23166741#5,0
233675413#4,0
233675413#7,0
23436553#3,0
24634510#0,0
24634510#1,0
24634510#6,0
25145012#6,0
26677216#0,0
26677216#1,0
26677216#2,0
26677216#3,0
26677416#1,0
26677417#0,0
26677417#1,0
26677542#1,0
27920078#0,0
27920078#1,0
28111977#0,0
28111977#10,0
285716192#0,0
285716192#0.83,0
315358257#0,0
315358257#0.43,0
32124743,0
32124744,0
32395288#0,58
37681425#7,0
40888359,0
653473569#3,0
653473569#5,0
